taps_int_min_1,taps_int_min_5,taps_int_min_10,taps_int_min_15,taps_int_min_20,taps_int_min_25,taps_int_min_30,taps_int_min_35,taps_int_min_40,taps_int_min_45,taps_int_min_50,taps_int_min_55,taps_int_min_60
9,15,15,15,15,15,15,15,15,15,15,15,15
0,10,10,10,10,10,10,10,10,10,10,10,10
9,11,11,11,11,11,11,11,11,11,11,11,11
7,8,8,8,8,8,8,8,8,8,8,8,8
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
9,12,12,12,12,12,12,12,12,12,12,12,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,4,4,4,4,4,4,4,4,4,4,4,4
