int min 1,int min 2,int min 3,int min 4,int min 5,int min 6,int min 7,int min 8,int min 9,int min 10,int min 11,int min 12,int min 13,int min 14,int min 15,int min 16,int min 17,int min 18,int min 19,int min 20,int min 21,int min 22,int min 23,int min 24,int min 25,int min 26,int min 27,int min 28,int min 29,int min 30,int min 31,int min 32,int min 33,int min 34,int min 35,int min 36,int min 37,int min 38,int min 39,int min 40,int min 41,int min 42,int min 43,int min 44,int min 45,int min 46,int min 47,int min 48,int min 49,int min 50,int min 51,int min 52,int min 53,int min 54,int min 55,int min 56,int min 57,int min 58,int min 59,int min 60
0.9324112142547293 - 0.0004178620883032953im,0.9323902988861136 - 0.00043518599809653005im,0.9323693701789302 - 0.00045248768303347885im,0.9323484407760543 - 0.0004698540055308836im,0.9323274902019802 - 0.00048718913799700804im,0.9323065718289394 - 0.0005045508121162891im,0.9322856218660943 - 0.000521869674482221im,0.9322647054198866 - 0.0005392429190932632im,0.9322437970433467 - 0.000556620111081022im,0.9322228710149482 - 0.0005739741447415991im,0.9322019142684169 - 0.0005913217334926408im,0.9321810191718772 - 0.0006086592906178514im,0.9321601179704485 - 0.0006260285689354005im,0.9321391732329983 - 0.0006433899313847321im,0.9321181992802716 - 0.0006607468072910094im,0.9320972424487207 - 0.0006781066198194624im,0.9320762714000013 - 0.0006954214720942089im,0.9320552925627092 - 0.000712784121677266im,0.9320343282840846 - 0.0007301362948975507im,0.9320134300277662 - 0.000747499661103443im,0.9319924791040091 - 0.0007647768084062578im,0.9319715570033382 - 0.000782088082624573im,0.9319505942287907 - 0.0007994765865250717im,0.9319296270206485 - 0.0008168392849057926im,0.9319086580761183 - 0.0008341840171060144im,0.9318876205912479 - 0.0008515073763954664im,0.9318666466651983 - 0.0008688618579369883im,0.93184567473755 - 0.0008861751608745792im,0.9318247231995581 - 0.0009035046305273358im,0.931803716911996 - 0.0009208356802370194im,0.9317827847385138 - 0.0009381671425564138im,0.931761787113486 - 0.0009555114965466882im,0.9317407927184567 - 0.0009728138302992453im,0.9317198088504166 - 0.000990181836756836im,0.931698827328102 - 0.0010075419329478217im,0.9316778425269827 - 0.0010248751734337203im,0.931656831929237 - 0.0010422134097724674im,0.9316358747717706 - 0.0010595236836813975im,0.9316148774383749 - 0.001076882030144856im,0.9315938692296195 - 0.0010941962178955774im,0.9315728473120845 - 0.0011115474514458463im,0.9315518327870365 - 0.0011288987662547855im,0.9315316880044779 - 0.001145452098438164im,0.9315313446029255 - 0.001145720171769028im,0.9315313512571031 - 0.001145728328087524im,0.9315313685436665 - 0.0011457482245276832im,0.93153137091606 - 0.0011457507449944425im,0.9315313842555951 - 0.0011457672924430691im,0.9315313944316146 - 0.0011457789772295994im,0.9315313870474514 - 0.0011457700925648251im,0.9315313660971397 - 0.0011457455838399402im,0.931531352830529 - 0.0011457305791299428im,0.9315313321048766 - 0.0011457059948694604im,0.9315313490367311 - 0.0011457267882094085im,0.9315313681459496 - 0.001145749342540007im,0.9315313638422248 - 0.0011457442558161514im,0.9315313511793449 - 0.0011457302426762885im,0.931531338338271 - 0.001145714429022207im,0.9315313469396761 - 0.0011457243902490782im,0.9315313568939902 - 0.0011457354638534077im
0.9482281984572388 - 0.00039420944288249724im,0.948210097801806 - 0.00040899196757200563im,0.9481919249433934 - 0.0004237544605886042im,0.9481738291990971 - 0.00043854142911486417im,0.94815567218392 - 0.0004532872862856487im,0.948137555494392 - 0.0004680603143257191im,0.9481194070819196 - 0.00048282986055714355im,0.948101224236158 - 0.0004975589169775546im,0.948083087729239 - 0.0005123405597846341im,0.9480649467593174 - 0.0005271038601313192im,0.9480468370234665 - 0.0005418643455640703im,0.9480286703348197 - 0.0005566336351813474im,0.9480105309192599 - 0.0005713767800166499im,0.9479923906898486 - 0.0005861656235062584im,0.9479742450867875 - 0.0006009381574634001im,0.9479560758316045 - 0.0006157191825105651im,0.94793794777918 - 0.0006304711688894894im,0.9479197941114553 - 0.0006452448531404217im,0.9479016414944447 - 0.0006600180294301137im,0.947883460120663 - 0.0006748388961508936im,0.9478652915457303 - 0.0006896805296028273im,0.9478471375431992 - 0.0007044604369705756im,0.9478289507573454 - 0.0007192264580624572im,0.9478108066936165 - 0.0007339759966377109im,0.9477926160200001 - 0.0007487531886767313im,0.9477744353412353 - 0.0007634994760586277im,0.9477562941515126 - 0.0007782584455255655im,0.9477381018884288 - 0.0007930302785157456im,0.9477199595898816 - 0.0008077657021514054im,0.9477017775573373 - 0.0008225532940979946im,0.9476835876466145 - 0.0008373099376061811im,0.9476654144332913 - 0.0008520547639056494im,0.9476472710291469 - 0.0008668073814374413im,0.9476290719339863 - 0.0008815572541485681im,0.9476108871443008 - 0.0008963229493673863im,0.947592740101309 - 0.0009110807324822657im,0.9475745267585062 - 0.0009258563194037894im,0.9475563409264599 - 0.0009406614404220544im,0.9475381541913517 - 0.0009554095040017647im,0.9475199415915315 - 0.0009701757725591564im,0.9475017365978595 - 0.0009849327201548912im,0.9474835352742386 - 0.0009997160708327371im,0.9474661147352114 - 0.0010139052915073615im,0.9474657748081156 - 0.0010141636003666485im,0.9474657870053761 - 0.001014178145049255im,0.9474658010710213 - 0.0010141955458183559im,0.947465793923144 - 0.001014187239762328im,0.9474657802192201 - 0.0010141712912445126im,0.9474657942382647 - 0.0010141877160211624im,0.9474657735263258 - 0.001014165023559695im,0.9474657736614753 - 0.0010141654709294884im,0.9474657933367133 - 0.0010141866563781108im,0.9474658039072575 - 0.001014199086219802im,0.9474658052116497 - 0.001014201053720004im,0.9474658180000946 - 0.0010142161236149363im,0.9474658118316459 - 0.0010142104817620963im,0.9474658073056081 - 0.001014204306463824im,0.9474658046688157 - 0.0010142012345193956im,0.947465807708551 - 0.0010142047099084054im,0.947465802534663 - 0.0010141994707169536im
0.9494161377279313 - 0.0004398288044915185im,0.9493945515009212 - 0.00045787116050927085im,0.9493728758652862 - 0.0004758886446749785im,0.9493512983669553 - 0.0004939351480200139im,0.9493296418473003 - 0.0005119296173318257im,0.9493080365429147 - 0.0005299598168556817im,0.9492863909303707 - 0.0005479822503441153im,0.9492647049888232 - 0.0005659575348442136im,0.9492430745925435 - 0.0005839985832660072im,0.9492214434273957 - 0.0006020157179749485im,0.9491998485509333 - 0.0006200267348806712im,0.9491781821478269 - 0.0006380490741143983im,0.9491565502263172 - 0.0006560396516693441im,0.9491349171307929 - 0.0006740896114687602im,0.949113278655768 - 0.0006921203763921691im,0.9490916098516847 - 0.0007101572954681412im,0.9490699921651319 - 0.0007281629952664364im,0.949048342408889 - 0.0007461896454303994im,0.9490266941592086 - 0.0007642167660158886im,0.9490050094703003 - 0.0007823084074300856im,0.9489833431333266 - 0.0008004231164170925im,0.9489616942583716 - 0.0008184612832712113im,0.9489400006704722 - 0.00083648105536152im,0.9489183668020275 - 0.0008544780878043272im,0.9488966708305301 - 0.0008725129823627254im,0.9488749875449295 - 0.0008905090295285626im,0.9488533527452381 - 0.000908518529084185im,0.9488316573231683 - 0.0009265492395774601im,0.9488100193251219 - 0.0009445331994695405im,0.9487883375283834 - 0.0009625831770181301im,0.9487666459726902 - 0.0009805908394488869im,0.948744970869338 - 0.000998585444408257im,0.9487233345747558 - 0.0010165907241906345im,0.9487016314796632 - 0.0010345921603308018im,0.9486799449645993 - 0.001052612409553718im,0.9486583064358078 - 0.0010706224264685395im,0.9486365856175292 - 0.0010886541986420493im,0.9486148950192996 - 0.001106726321409441im,0.9485932055815596 - 0.0011247225499645057im,0.9485714823481963 - 0.001142744860655804im,0.9485497667382564 - 0.0011607491592880484im,0.9485280607036811 - 0.0011787912673756368im,0.9485072799375945 - 0.0011961167221840473im,0.9485068718268418 - 0.0011964337362150715im,0.948506887045135 - 0.0011964515282656008im,0.948506904512283 - 0.0011964725849588581im,0.9485068979871578 - 0.0011964649498401954im,0.9485068815313344 - 0.0011964460563035247im,0.9485068991123253 - 0.0011964663080603621im,0.9485068715368465 - 0.0011964362564169586im,0.9485068716840679 - 0.0011964367139872742im,0.9485068984701731 - 0.0011964655281166067im,0.9485069117337692 - 0.0011964808602527059im,0.9485069124830204 - 0.0011964822596162886im,0.9485069291745652 - 0.00119650153573363im,0.9485069195540742 - 0.0011964922017390237im,0.9485069147425512 - 0.0011964856922052694im,0.9485069111983421 - 0.001196481650973645im,0.948506915357032 - 0.001196486321608647im,0.9485069075566798 - 0.0011964782766961434im
0.9482104382260259 - 0.000974248531001144im,0.9481820416003445 - 0.0009984874087291067im,0.948153722519267 - 0.0010226675416208945im,0.9481253283720552 - 0.0010468709025385123im,0.9480969310813547 - 0.0010710409277269546im,0.9480685993964583 - 0.0010952880852154953im,0.9480401951788895 - 0.0011194429601876876im,0.9480118339702479 - 0.001143608354111039im,0.9479834747887131 - 0.0011677830825447416im,0.9479551094154989 - 0.001192020339948857im,0.9479267368387698 - 0.0012162100968407402im,0.9478983075532073 - 0.0012404529165114656im,0.9478699789725534 - 0.0012646739835871156im,0.9478416546811279 - 0.0012889296728676365im,0.9478132628256658 - 0.001313118864157867im,0.9477848095523562 - 0.001337289501765068im,0.947756408436034 - 0.0013614898491191192im,0.9477280832181777 - 0.0013856579419163535im,0.9476996541037944 - 0.0014098506910186805im,0.9476713388934452 - 0.001434051035541364im,0.9476429156988861 - 0.0014582393435176768im,0.9476145667014675 - 0.001482407688004696im,0.9475861951370768 - 0.0015066401355810248im,0.9475577599338949 - 0.0015308837927968273im,0.9475292774961778 - 0.001555095393158482im,0.9475007534508622 - 0.0015792465562006071im,0.9474723482540692 - 0.001603453116903678im,0.94744390938193 - 0.001627629868749391im,0.9474154314536986 - 0.0016518515104783323im,0.9473869737567296 - 0.0016761143303315842im,0.947358551872236 - 0.0017003150671427237im,0.9473301120797352 - 0.0017245002638536793im,0.9473017118953603 - 0.0017487177863884612im,0.9472732497041428 - 0.0017729578289664963im,0.9472448090423826 - 0.0017972167270405765im,0.9472163811048453 - 0.0018213722893479529im,0.9471879454902337 - 0.0018455177689194716im,0.9471594970202798 - 0.0018696746825459776im,0.9471311364660735 - 0.0018938764734408135im,0.9471026325486651 - 0.0019180589303446152im,0.9470741628948394 - 0.0019423115242455428im,0.9470456944604589 - 0.001966482688620197im,0.9470183251900912 - 0.001989636650594732im,0.9470179088689851 - 0.001989960275028323im,0.9470178988318422 - 0.0019899506864400965im,0.9470178994455386 - 0.0019899527896973046im,0.9470179033976942 - 0.001989957053953961im,0.9470179260530751 - 0.001989983614179547im,0.947017946536257 - 0.001990006336670745im,0.9470179421730666 - 0.0019900006015369028im,0.9470179242756924 - 0.0019899793105524815im,0.9470179332888504 - 0.0019899882551080842im,0.9470179108177511 - 0.0019899616382333036im,0.9470179351802183 - 0.0019899904648802524im,0.9470179524247059 - 0.001990011051263087im,0.9470179522450223 - 0.00199001028335843im,0.9470179610016095 - 0.001990019273775455im,0.9470179431159375 - 0.0019899980630317033im,0.9470179607236405 - 0.001990017708840762im,0.947017953843207 - 0.001990010692320364im
0.9454232307305265 - 0.0003025186352210007im,0.9454026559531706 - 0.00031959710212363065im,0.9453820532324103 - 0.000336683218396874im,0.9453614892940589 - 0.00035379407368587136im,0.9453408993915734 - 0.0003708712515241691im,0.9453203281150511 - 0.00038792105926927883im,0.9452997203166824 - 0.0004050082998435639im,0.9452790892089258 - 0.00042206700310949257im,0.9452585143035894 - 0.0004391929051555197im,0.945237895818947 - 0.0004562736699477689im,0.9452172867141233 - 0.00047338483037447017im,0.9451966645935344 - 0.0004904793294439281im,0.9451760777798992 - 0.0005075441614642518im,0.9451554761249444 - 0.0005246325652101117im,0.945134850168687 - 0.0005417392606546258im,0.9451142172249863 - 0.0005588608472025297im,0.9450935904156269 - 0.0005759068647806285im,0.9450729703676356 - 0.000593044914446698im,0.9450523585206783 - 0.0006101466195523221im,0.9450317128306366 - 0.000627231037865178im,0.9450110550417908 - 0.000644364386202598im,0.9449904096041506 - 0.0006614388699046592im,0.9449697761135498 - 0.0006785352222241123im,0.9449491139126689 - 0.0006956477163129907im,0.9449284637786295 - 0.0007127312453852812im,0.9449078189845749 - 0.0007298047796410615im,0.9448872048847266 - 0.0007469025277128388im,0.9448665357012157 - 0.0007640045570361922im,0.9448459269908578 - 0.0007810631540253847im,0.9448252528264935 - 0.000798166626363891im,0.9448045607929333 - 0.0008152513357008025im,0.9447839146838841 - 0.0008323394729561873im,0.9447632765742692 - 0.0008494142410038072im,0.9447425935529022 - 0.0008664878437146677im,0.9447219091381263 - 0.0008835535320020179im,0.9447012403528672 - 0.00090064410748817im,0.9446805533025102 - 0.0009177503890133786im,0.9446599276145347 - 0.000934862121768553im,0.9446392445425105 - 0.0009519508251295294im,0.944618568878423 - 0.0009690310355024245im,0.9445979259610707 - 0.0009861975364692823im,0.944577248285982 - 0.0010032740771166247im,0.9445575305529141 - 0.001019603176496548im,0.9445572038849058 - 0.0010198572207633365im,0.9445572011203199 - 0.001019855808002894im,0.9445572203362412 - 0.001019878725086528im,0.9445572169051977 - 0.0010198744608444865im,0.9445572032740178 - 0.001019858596188523im,0.9445572066910406 - 0.0010198636455610059im,0.9445572188426775 - 0.001019876209165278im,0.9445572176927977 - 0.0010198753334332im,0.9445571995518474 - 0.001019856022100419im,0.9445572013819895 - 0.0010198590247463674im,0.9445572076238876 - 0.0010198662083215674im,0.9445572105782182 - 0.0010198707229039676im,0.9445572331876098 - 0.0010198958334257172im,0.9445572307047407 - 0.0010198919205791205im,0.9445572300569728 - 0.0010198909312665071im,0.9445572322473867 - 0.0010198935396368055im,0.94455723390767 - 0.0010198956076961667im
0.951997986724206 + 3.210910456757616e-5im,0.9519925222293666 + 2.799577069879987e-5im,0.9519870516724952 + 2.3888355029863875e-5im,0.9519815810025509 + 1.9778442083568926e-5im,0.9519760930444097 + 1.566432926083158e-5im,0.9519706254958485 + 1.1543363848504263e-5im,0.9519651427063378 + 7.43583822761319e-6im,0.95195966412738 + 3.320923973256357e-6im,0.9519541930462305 - 7.718471238268366e-7im,0.9519487172272099 - 4.880707017115315e-6im,0.9519432333547698 - 8.99279953633179e-6im,0.9519377590422166 - 1.310919827592915e-5im,0.951932294487328 - 1.7222673354810663e-5im,0.9519268082452859 - 2.1330838685823095e-5im,0.9519213450573708 - 2.543557837575644e-5im,0.9519158619872644 - 2.9526228199041706e-5im,0.9519103925814514 - 3.362680201273781e-5im,0.9519049184536457 - 3.7726589993214424e-5im,0.9518994399185468 - 4.184077956259669e-5im,0.9518939766321759 - 4.594756871209655e-5im,0.9518885085426109 - 5.0051576839295655e-5im,0.9518830173314362 - 5.414883337077952e-5im,0.9518775457825174 - 5.825097611520595e-5im,0.9518720606717824 - 6.236367107318587e-5im,0.9518665862752741 - 6.645607297950055e-5im,0.9518611189827864 - 7.056206243491536e-5im,0.9518556458427033 - 7.467584217326161e-5im,0.9518501719855916 - 7.876616015856355e-5im,0.9518446887517656 - 8.288086295311847e-5im,0.951839202663436 - 8.699360759807779e-5im,0.9518337242972493 - 9.10980826760254e-5im,0.9518282465850977 - 9.520295246748836e-5im,0.951822767055803 - 9.930048564060145e-5im,0.9518172907049017 - 0.00010340848996843351im,0.9518118259517319 - 0.00010751577707637156im,0.9518063504795156 - 0.0001116317717893247im,0.951800867260212 - 0.00011573367982064853im,0.9517953949364556 - 0.00011983120348359454im,0.9517899100605441 - 0.00012393017358940537im,0.9517844224062665 - 0.00012804836898215184im,0.951778956116786 - 0.00013215921947244886im,0.9517734780318972 - 0.00013625169177407324im,0.9517681914808431 - 0.00014020898677193173im,0.9517680809368655 - 0.00014026815354293337im,0.951768075847716 - 0.00014026261865974905im,0.9517680789245936 - 0.00014026643427892763im,0.9517680893772591 - 0.00014027977781246137im,0.9517680920005039 - 0.00014028254777444634im,0.9517680878206177 - 0.00014027732152648332im,0.9517680851094578 - 0.0001402738225436675im,0.9517680801265699 - 0.00014026820571923164im,0.9517680702571553 - 0.00014025673653755993im,0.9517680597924294 - 0.00014024408522160105im,0.9517680646012341 - 0.0001402500602958652im,0.9517680611573023 - 0.00014024612891457513im,0.9517680639192699 - 0.00014025009598823995im,0.9517680660973331 - 0.00014025250017835758im,0.9517680570047267 - 0.0001402418969918477im,0.9517680578051518 - 0.000140242465133505im,0.9517680526062232 - 0.00014023683814611947im
0.9455002202265154 - 0.00030776189975277265im,0.9454779043345146 - 0.00032646890370702697im,0.9454555587421621 - 0.00034518007974392457im,0.9454332661860284 - 0.0003639205348231496im,0.9454109408717792 - 0.00038262287819757293im,0.945388638493585 - 0.0004012914470335465im,0.9453662906995158 - 0.0004200010728367735im,0.9453439207075425 - 0.0004386846429516056im,0.9453216092488061 - 0.00045744031904814135im,0.9452992483359689 - 0.0004761446644219848im,0.9452768942053675 - 0.0004948849500118181im,0.9452545300326926 - 0.0005136031853004685im,0.9452322066927631 - 0.0005322827476092945im,0.9452098661631531 - 0.0005509996965537314im,0.9451875007588881 - 0.0005697351300566707im,0.9451651329174231 - 0.0005884877343340077im,0.9451427635569549 - 0.0006071545457505872im,0.9451203998485538 - 0.0006259240010741265im,0.9450980516957671 - 0.0006446463038217224im,0.945075661541528 - 0.0006633502503802156im,0.9450532557458957 - 0.0006821130281233218im,0.9450308678456889 - 0.0007008083944869296im,0.9450084858709392 - 0.0007195323306239504im,0.944986075056372 - 0.0007382732990051322im,0.9449636850773899 - 0.0007569805407454107im,0.9449412957774205 - 0.0007756791927295808im,0.9449189356744717 - 0.000794400137041007im,0.9448965166296565 - 0.0008131448163846026im,0.9448741648935814 - 0.000831832264613262im,0.9448517378401947 - 0.000850565171807537im,0.9448292958466207 - 0.0008692781832617372im,0.9448069013242484 - 0.0008880012272662603im,0.944784515660958 - 0.0009067010774071024im,0.9447620820206948 - 0.0009254035284161328im,0.9447396441356004 - 0.0009440929956717939im,0.944717234183941 - 0.0009628141887657261im,0.9446948012409604 - 0.0009815472611380196im,0.9446724367732412 - 0.0010002930850693864im,0.9446500049174753 - 0.0010190102776534836im,0.9446275876042957 - 0.0010377126665404171im,0.9446051985563034 - 0.0010565176152502421im,0.94458277411878 - 0.001075220057086316im,0.9445613977022673 - 0.0010930924783720036im,0.9445610452358836 - 0.0010933682238430608im,0.9445610393555847 - 0.0010933634941688248im,0.9445610567134853 - 0.0010933844208766696im,0.944561051462505 - 0.0010933782155413511im,0.9445610318486344 - 0.0010933559367618528im,0.9445610368142002 - 0.0010933626421773064im,0.9445610534475939 - 0.001093380001501511im,0.9445610475404678 - 0.0010933740329208967im,0.9445610248286018 - 0.0010933498285782617im,0.9445610265946741 - 0.0010933527523223398im,0.9445610359628591 - 0.0010933632989860605im,0.9445610392134377 - 0.001093368133340389im,0.9445610625373315 - 0.001093394003578172im,0.9445610631666463 - 0.0010933934284903689im,0.9445610640615415 - 0.0010933940879024038im,0.9445610647932139 - 0.0010933951392151163im,0.9445610654330164 - 0.0010933961146180494im
0.9324111477320388 - 0.00041792426293202144im,0.9323901956641757 - 0.0004352895166473232im,0.9323692192264725 - 0.0004526405589880354im,0.9323482436848798 - 0.00047004271263300886im,0.9323272521888394 - 0.00048741176486554133im,0.9323062881980754 - 0.0005048167523708898im,0.9322852959490465 - 0.0005221736139045039im,0.932264336812924 - 0.0005395852956942736im,0.9322433851897464 - 0.0005570082066852578im,0.9322224171068638 - 0.0005744009136377431im,0.9322014188066603 - 0.0005917896026774983im,0.9321804791986781 - 0.0006091711586733847im,0.9321595369077531 - 0.000626575686111712im,0.9321385534773483 - 0.0006439735527173741im,0.9321175373137393 - 0.0006613642114977818im,0.9320965391489937 - 0.000678765122838448im,0.9320755266595233 - 0.0006961196391873914im,0.9320545024557446 - 0.0007135175062977417im,0.9320334945082525 - 0.0007309146614562655im,0.9320125482875984 - 0.0007483215820085659im,0.9319915541406151 - 0.0007656413529137983im,0.9319705871815779 - 0.0007829896615747193im,0.9319495855072184 - 0.0008004183149978349im,0.9319285727037668 - 0.0008178211364119813im,0.9319075643834491 - 0.0008352045707227482im,0.9318864813847113 - 0.0008525650344116979im,0.9318654644837696 - 0.000869958254625342im,0.9318444458699817 - 0.0008873170260631405im,0.9318234537701126 - 0.000904688309337749im,0.9318024054420277 - 0.0009220614526455915im,0.9317814318415336 - 0.0009394354527800644im,0.93176039568851 - 0.000956819672374622im,0.9317393604665285 - 0.0009741661825184095im,0.9317183304718323 - 0.0009915807960000917im,0.9316973078419716 - 0.0010089793209554399im,0.9316762780872503 - 0.0010263560634555405im,0.9316552221165957 - 0.0010437356977257106im,0.9316342191550054 - 0.0010610853132251837im,0.9316131797015108 - 0.0010784834765572872im,0.9315921215236929 - 0.0010958359235113916im,0.9315710589857834 - 0.0011132235485900937im,0.9315500004838059 - 0.0011306144604837217im,0.9315298108072977 - 0.0011472100610032477im,0.9315294601915178 - 0.001147479830857964im,0.9315294678434748 - 0.0011474890517136087im,0.931529487782744 - 0.0011475117968480456im,0.931529491563622 - 0.00114751581350127im,0.9315295055837852 - 0.0011475331004791069im,0.9315295147280016 - 0.0011475436771286234im,0.9315295079263225 - 0.0011475354161107174im,0.9315294872345284 - 0.0011475111860034693im,0.9315294737027465 - 0.001147495895969495im,0.9315294536214414 - 0.001147472002762555im,0.9315294720080204 - 0.00114749434910778im,0.9315294912406586 - 0.0011475170281698864im,0.931529489726591 - 0.0011475149265835172im,0.9315294779720753 - 0.0011475018849730332im,0.9315294641913422 - 0.0011474850658946744im,0.9315294741959839 - 0.0011474965355173677im,0.9315294866357071 - 0.0011475102673721765im
0.945355637101979 - 0.00029952265292118086im,0.9453355164869658 - 0.0003161782854133051im,0.945315366002667 - 0.00033284333747875234im,0.9452952442777076 - 0.00034953694308237273im,0.9452751009101944 - 0.0003661893770760823im,0.9452549688167706 - 0.00038282004719278855im,0.9452348110613703 - 0.00039949133850034795im,0.9452146275246665 - 0.0004161247335521286im,0.9451944949499689 - 0.000432825121185626im,0.9451743248333014 - 0.00044949094319641277im,0.9451541633873197 - 0.00046617778952785484im,0.9451339920412595 - 0.0004828569712368514im,0.9451138542635305 - 0.0004995200488377995im,0.9450937023519378 - 0.0005161829632963041im,0.9450735174803494 - 0.0005328683197455816im,0.9450533201052037 - 0.0005495677808789202im,0.9450331439670252 - 0.000566198281305409im,0.9450129774511206 - 0.0005829152980110871im,0.9449928098332433 - 0.0005996046603285306im,0.9449726136656363 - 0.0006162740217904806im,0.9449524066722513 - 0.00063298985108354im,0.9449322117717975 - 0.0006496479162749109im,0.944912031846251 - 0.0006663270599300162im,0.9448918188875642 - 0.0006830198111817889im,0.9448716149490562 - 0.0006996865694842485im,0.9448514196345795 - 0.0007163390941439835im,0.9448312652266031 - 0.0007330228241324133im,0.9448110456402938 - 0.0007496916757444249im,0.9447908862033529 - 0.000766332602952112im,0.9447706733094424 - 0.0007830066493643743im,0.9447504356459833 - 0.0007996728166065505im,0.9447302436313014 - 0.0008163291357626002im,0.9447100609929766 - 0.0008329859124554009im,0.944689832935559 - 0.0008496337121408108im,0.9446696053278016 - 0.0008662838895382006im,0.9446493824677303 - 0.0008829508687359794im,0.9446291421965686 - 0.000899640396860997im,0.9446089587724005 - 0.0009163279919509424im,0.9445887240181818 - 0.000932990526059255im,0.9445684907432107 - 0.0009496526756211818im,0.9445482984509259 - 0.000966395730013922im,0.9445280682714009 - 0.000983053099168288im,0.9445087857719066 - 0.0009989804425274444im,0.9445084689592073 - 0.0009992263226728157im,0.9445084703831553 - 0.0009992293863858393im,0.9445084892616956 - 0.0009992519432698204im,0.9445084855824003 - 0.0009992474188675086im,0.9445084795490162 - 0.000999239697286131im,0.9445084836617873 - 0.000999245491554999im,0.9445084916994541 - 0.0009992536621203213im,0.944508491640917 - 0.0009992539528762426im,0.9445084765626879 - 0.0009992379254208554im,0.9445084762067416 - 0.0009992385913554739im,0.9445084842363296 - 0.0009992476803809924im,0.9445084883828824 - 0.0009992534771819407im,0.9445085129178518 - 0.0009992806447781761im,0.9445085092588389 - 0.000999275471831555im,0.9445085089469052 - 0.0009992748422421689im,0.9445085120903438 - 0.0009992784725360421im,0.9445085145587653 - 0.0009992814055910103im
0.9466055920436189 - 0.00017879452168531018im,0.9465953319520874 - 0.00018628387813786966im,0.9465850546895758 - 0.00019376166479407727im,0.9465747888257323 - 0.00020125303891743853im,0.9465645192060361 - 0.00020874521897000793im,0.9465542465759511 - 0.00021622802875788627im,0.9465439786845681 - 0.00022373379321493253im,0.9465337110217483 - 0.000231213223138199im,0.9465234384214434 - 0.00023870721846283062im,0.9465131549581703 - 0.00024619949629771116im,0.946502897312654 - 0.00025369976506086245im,0.9464926158930638 - 0.00026118740565479986im,0.9464823376698515 - 0.0002686801461436302im,0.9464720679729206 - 0.0002761736734133266im,0.946461783545687 - 0.00028366079524884034im,0.9464515023921868 - 0.00029116486018385514im,0.9464412336409386 - 0.00029863213874786385im,0.9464309654268473 - 0.0003061236478183368im,0.9464206797312217 - 0.00031362150471850217im,0.9464103846886361 - 0.0003211248628337229im,0.9464000990954622 - 0.0003286296863704262im,0.9463898096321667 - 0.00033611383827960136im,0.9463795180030101 - 0.0003436042776220976im,0.9463692308155871 - 0.0003510803013539276im,0.9463589356313493 - 0.000358560049037707im,0.9463486520891685 - 0.0003660399230614873im,0.9463383800390623 - 0.0003735206645236008im,0.9463280882835128 - 0.0003810103496784455im,0.9463178109314296 - 0.0003884926424892859im,0.9463075032480499 - 0.00039597750432762046im,0.9462972041585203 - 0.0004034690039182247im,0.946286922930277 - 0.0004109449494616061im,0.9462766414159062 - 0.000418423077061981im,0.9462663428528466 - 0.0004259028810667691im,0.9462560539452849 - 0.0004333931039675625im,0.9462457628312088 - 0.0004408809413992299im,0.9462354561467654 - 0.00044837608229370495im,0.9462251704515027 - 0.00045585525855135423im,0.9462148725225895 - 0.0004633492446547698im,0.9462045761228511 - 0.0004708440723703668im,0.9461942827633785 - 0.0004783315812621709im,0.9461839615515812 - 0.00048582504341226353im,0.9461741214252122 - 0.0004929883114098319im,0.9461738885460104 - 0.0004931564672719569im,0.9461738984437743 - 0.0004931689635933723im,0.9461739012451265 - 0.0004931740353740059im,0.9461739017271603 - 0.0004931741482692393im,0.9461738996138315 - 0.0004931703551666305im,0.9461739015375515 - 0.0004931733555418112im,0.9461739111728797 - 0.0004931839295984789im,0.9461739160410436 - 0.0004931898443600824im,0.9461739143014034 - 0.0004931872515169306im,0.9461739207265983 - 0.0004931956337007237im,0.9461739223479252 - 0.000493197349575603im,0.9461739278609037 - 0.0004932045956202001im,0.9461739231483823 - 0.0004931996893379551im,0.9461739152293817 - 0.0004931898084901294im,0.9461739145855966 - 0.0004931883627294987im,0.9461739123550417 - 0.0004931861474506347im,0.9461739177126299 - 0.0004931923948931644im
